            Frequency	20*LOG10(V(OUT)/V(IN))
                    1	      5.60407326270052
     1.07977516232771	      5.60407248436461
     1.16591440117983	      5.60407175466608
     1.25892541179417	      5.60407117180099
     1.35935639087853	      5.60407030708517
     1.46779926762207	        5.604069293999
     1.58489319246111	      5.60406774500696
     1.71132830416178	      5.60406638468517
     1.84784979742229	       5.6040648814098
     1.99526231496888	      5.60406293867622
     2.15443469003188	      5.60406084403471
     2.32630506715363	      5.60405838957364
     2.51188643150958	      5.60405542302861
     2.71227257933203	      5.60405185699157
     2.92864456462524	      5.60404767963466
     3.16227766016838	        5.604042967281
      3.4145488738336	      5.60403735588525
     3.68694506451958	       5.6040311444362
     3.98107170553497	      5.60402368515763
     4.29866234708228	      5.60401449345551
     4.64158883361278	      5.60400436055533
     5.01187233627272	      5.60399266986165
     5.41169526546464	      5.60397851974523
     5.84341413373518	      5.60396239557155
     6.30957344480193	      5.60394350448881
     6.81292069057961	      5.60392146223103
     7.35642254459641	      5.60389581854818
     7.94328234724281	      5.60386613560632
     8.57695898590894	      5.60383099460505
     9.26118728128793	       5.6037902750065
                   10	      5.60374256443909
     10.7977516232771	      5.60368747725054
     11.6591440117983	      5.60362310886205
     12.5892541179417	      5.60354786324651
     13.5935639087853	      5.60345959794469
     14.6779926762207	      5.60335752185793
     15.8489319246111	      5.60323816596771
     17.1132830416178	      5.60309900374189
     18.4784979742229	      5.60293725164186
     19.9526231496888	       5.6027481876392
     21.5443469003188	       5.6025279067382
     23.2630506715363	        5.602270729037
     25.1188643150958	      5.60197106626909
     27.1227257933203	      5.60162216950175
     29.2864456462524	      5.60121446366612
     31.6227766016838	       5.6007400313215
      34.145488738336	      5.60018645907055
     36.8694506451957	      5.59954064758772
     39.8107170553497	      5.59878858585134
     42.9866234708228	      5.59791105881158
     46.4158883361278	      5.59688789011989
     50.1187233627272	      5.59569546928564
     54.1169526546464	      5.59430483796129
     58.4341413373518	      5.59268351580558
     63.0957344480193	      5.59079302724518
     68.1292069057961	      5.58858935845921
     73.5642254459641	      5.58601929603876
     79.4328234724281	      5.58302354867052
     85.7695898590894	      5.57953010089069
     92.6118728128793	      5.57545727463349
                  100	      5.57070860759461
     107.977516232771	      5.56517157769347
     116.591440117983	      5.55871587719485
     125.892541179417	      5.55118889186311
     135.935639087853	      5.54241222205337
     146.779926762207	      5.53217939214285
     158.489319246111	      5.52024720017948
     171.132830416178	      5.50633483221949
     184.784979742229	      5.49011193052922
     199.526231496888	       5.4711960591278
     215.443469003188	      5.44913807678749
     232.630506715363	      5.42341608900843
     251.188643150958	      5.39342078460917
     271.227257933203	      5.35844070700743
     292.864456462524	      5.31764420469962
     316.227766016838	      5.27006239893148
      341.45488738336	      5.21456046391342
     368.694506451957	      5.14981391636469
     398.107170553497	      5.07427092809012
     429.866234708228	       4.9861141307944
     464.158883361278	      4.88320910676833
     501.187233627272	      4.76304519841771
     541.169526546464	      4.62265966100134
     584.341413373517	      4.45854243008138
     630.957344480193	      4.26651238614516
     681.292069057961	      4.04156279695007
     735.642254459641	      3.77765545941738
     794.328234724281	      3.46746211830041
     857.695898590894	      3.10204490703808
     926.118728128793	      2.67048862909558
                 1000	      2.15954042914824
     1079.77516232771	      1.55336764886196
     1165.91440117983	     0.833660810120875
     1258.92541179417	   -0.0196341682407904
     1359.35639087853	     -1.02664620080506
     1467.79926762207	     -2.20493256763947
     1584.89319246111	     -3.56630552820419
     1711.32830416178	     -5.11413939371449
     1847.84979742229	      -6.8423019628336
