            Frequency	      P(V(OUT)/V(IN))
                    1	   -0.127477168505036
     1.07977516232771	   -0.137646690155484
     1.16591440117983	   -0.148627470417848
     1.25892541179417	   -0.160484252624055
     1.35935639087853	   -0.173286898869844
     1.46779926762207	   -0.187110888587278
     1.58489319246111	   -0.202037703480055
     1.71132830416178	    -0.21815529522029
     1.84784979742229	   -0.235558651783301
     1.99526231496888	   -0.254350377940616
     2.15443469003188	   -0.274641224260551
     2.32630506715363	   -0.296550761459265
     2.51188643150958	   -0.320208136694668
     2.71227257933203	   -0.345752801409103
     2.92864456462524	   -0.373335294993265
     3.16227766016838	   -0.403118168171305
      3.4145488738336	   -0.435276961268589
     3.68694506451958	   -0.470001246838723
     3.98107170553497	   -0.507495608884788
     4.29866234708228	   -0.547981192724223
     4.64158883361278	   -0.591696443309898
     5.01187233627272	   -0.638899066671461
     5.41169526546464	   -0.689867328960574
     5.84341413373518	   -0.744901500632791
     6.30957344480193	   -0.804326086202067
     6.81292069057961	   -0.868491225035241
     7.35642254459641	   -0.937775154743644
     7.94328234724281	    -1.01258613167934
     8.57695898590894	    -1.09336521609891
     9.26118728128793	    -1.18058839924718
                   10	    -1.27476976528825
     10.7977516232771	    -1.37646433249213
     11.6591440117983	    -1.48627152628257
     12.5892541179417	    -1.60483850357678
     13.5935639087853	    -1.73286412079168
     14.6779926762207	    -1.87110263809331
     15.8489319246111	    -2.02036910110481
     17.1132830416178	    -2.18154293092869
     18.4784979742229	    -2.35557406777662
     19.9526231496888	    -2.54348800549364
     21.5443469003188	    -2.74639233057465
     23.2630506715363	     -2.9654828181472
     25.1188643150958	    -3.20204999456729
     27.1227257933203	    -3.45748819217906
     29.2864456462524	    -3.73330299937423
     31.6227766016838	    -4.03111853683826
      34.145488738336	    -4.35269043991236
     36.8694506451957	    -4.69991282550758
     39.8107170553497	    -5.07483098866552
     42.9866234708228	    -5.47965365528696
     46.4158883361278	    -5.91676590865763
     50.1187233627272	    -6.38874078868726
     54.1169526546464	    -6.89835817853606
     58.4341413373518	    -7.44861912781084
     63.0957344480193	     -8.0427623818889
     68.1292069057961	    -8.68428434698646
     73.5642254459641	    -9.37696137858338
     79.4328234724281	    -10.1248667224424
     85.7695898590894	    -10.9323998245208
     92.6118728128793	    -11.8043082561128
                  100	    -12.7457130874466
     107.977516232771	    -13.7621469941824
     116.591440117983	    -14.8595730803123
     125.892541179417	     -16.044431328775
     135.935639087853	    -17.3236648448689
     146.779926762207	    -18.7047633215066
     158.489319246111	     -20.195811352967
     171.132830416178	    -21.8055162286617
     184.784979742229	    -23.5432705134723
     199.526231496888	    -25.4191961049902
     215.443469003188	    -27.4442003876052
     232.630506715363	     -29.630027871678
     251.188643150958	    -31.9893282675083
     271.227257933203	    -34.5357085668157
     292.864456462524	    -37.2838138107329
     316.227766016838	    -40.2493797243698
      341.45488738336	    -43.4493206788472
     368.694506451957	    -46.9017913494091
     398.107170553497	    -50.6262619121207
     429.866234708228	    -54.6436057372139
     464.158883361278	    -58.9761713257988
     501.187233627272	    -63.6478410789806
     541.169526546464	    -68.6840977884086
     584.341413373517	     -74.112062415718
     630.957344480193	    -79.9604516552164
     681.292069057961	       -86.2594563618
     735.642254459641	    -93.0403954824759
     794.328234724281	    -100.335003516179
     857.695898590894	    -108.174073692842
     926.118728128793	    -116.585050709066
                 1000	    -125.588042084478
     1079.77516232771	      -135.1897055351
     1165.91440117983	    -145.374791327315
     1258.92541179417	    -156.096046138813
     1359.35639087853	    -167.264796439277
     1467.79926762207	    -178.746464881293
     1584.89319246111	    -190.365672355249
     1711.32830416178	    -201.923080008635
     1847.84979742229	    -213.220703646342
     1995.26231496888	    -224.087393930927
     2154.43469003188	    -234.396100049986
     2326.30506715363	     -244.06911139497
