            Frequency	      P(V(OUT)/V(IN))
                    1	   -0.140211098920782
     1.12201845430196	   -0.157319541369399
     1.25892541179417	    -0.17651556262121
     1.41253754462275	   -0.198053937456261
     1.58489319246111	   -0.222220449377888
     1.77827941003892	   -0.249335845745099
     1.99526231496888	   -0.279760013069245
     2.23872113856834	   -0.313896678565587
     2.51188643150958	   -0.352199023291811
     2.81838293126445	    -0.39517544111317
     3.16227766016838	   -0.443396352552684
     3.54813389233575	   -0.497502158132864
     3.98107170553497	   -0.558211127125918
     4.46683592150963	    -0.62632957466412
     5.01187233627272	   -0.702762376851962
     5.62341325190348	   -0.788525182615419
     6.30957344480192	    -0.88475797408431
     7.07945784384137	    -0.99274019506785
      7.9432823472428	    -1.11390883897091
     8.91250938133744	    -1.24987730620603
     9.99999999999998	    -1.40245730404244
     11.2201845430196	    -1.57368469601712
     12.5892541179417	    -1.76584678706175
     14.1253754462275	    -1.98151565753748
     15.8489319246111	    -2.22358357113458
     17.7827941003892	    -2.49530661704971
     19.9526231496888	    -2.80035185103142
     22.3872113856833	     -3.1428544998353
     25.1188643150957	    -3.52748207949091
     28.1838293126445	    -3.95951256581726
     31.6227766016837	    -4.44492440266362
     35.4813389233575	    -4.99050659656223
     39.8107170553496	    -5.60399058444449
     44.6683592150962	    -6.29421038106726
     50.1187233627271	    -7.07130890529216
     56.2341325190347	    -7.94698698075846
     63.0957344480191	    -8.93483374045329
     70.7945784384136	    -10.0507428132698
     79.4328234724279	    -11.3134682246724
     89.1250938133743	    -12.7453621269078
     99.9999999999997	    -14.3733543918244
     112.201845430196	    -16.2303008971417
     125.892541179416	    -18.3568062261521
     141.253754462275	    -20.8037142552417
     158.489319246111	    -23.6355219648871
     177.827941003892	     -26.934936338642
     199.526231496887	    -30.8088057206287
     223.872113856833	    -35.3951780974934
     251.188643150957	    -40.8701460825931
     281.838293126444	    -47.4500441027849
     316.227766016837	    -55.3780502383508
     354.813389233574	    -64.8745737558888
     398.107170553496	    -76.0279964805711
     446.683592150961	    -88.6427111418681
      501.18723362727	    -102.171977616397
     562.341325190347	    -115.923160758427
     630.957344480191	    -129.528502685101
     707.945784384135	    -143.518719688363
     794.328234724278	     -160.49215142406
     891.250938133742	    -190.432901770494
     999.999999999995	    -253.293944222435
     1122.01845430196	    -296.262924331138
     1258.92541179416	     -313.59577095083
     1412.53754462275	    -322.991619917723
     1584.89319246111	    -329.237742352362
     1778.27941003891	    -333.864765449824
     1995.26231496887	    -337.510709881133
     2238.72113856833	     -340.49638697055
     2511.88643150957	    -343.006212840207
     2818.38293126444	    -345.157536977869
     3162.27766016836	    -347.031512311142
     3548.13389233573	    -348.688676855237
     3981.07170553495	    -350.177743437735
     4466.83592150961	    -351.541229516409
     5011.87233627269	    -352.819632602156
     5623.41325190346	    -354.055116884666
     6309.57344480189	     -355.29534288231
     7079.45784384134	    -356.597996402108
     7943.28234724277	    -358.036574677557
      8912.5093813374	    -359.708106919683
     9999.99999999994	    -361.743583433137
     11220.1845430196	    -364.321934210046
     12589.2541179416	    -367.688013839214
     14125.3754462275	    -372.173378973573
      15848.931924611	    -378.213426010524
     17782.7941003891	    -386.341395236653
     19952.6231496887	    -397.115360419832
     22387.2113856832	     -410.91594086152
     25118.8643150956	    -427.616423471368
     28183.8293126443	    -446.332483759372
     31622.7766016836	     -465.54316818935
     35481.3389233573	    -483.559979466261
     39810.7170553494	    -499.083699072695
      44668.359215096	    -511.566054876733
     50118.7233627269	    -521.149723261459
     56234.1325190345	    -528.336887576138
     63095.7344480188	    -533.699357514818
     70794.5784384133	    -537.738422974185
     79432.8234724275	     -540.84862145115
     89125.0938133739	    -543.325961078231
     99999.9999999992	    -545.388350185063
     112201.845430195	    -547.195647152366
     125892.541179416	    -548.865948729572
     141253.754462274	    -550.487872656436
      158489.31924611	    -552.129521872412
     177827.941003891	    -553.844936137338
     199526.231496886	    -555.678675411769
     223872.113856832	    -557.669054144576
     251188.643150956	    -559.850371207312
     281838.293126443	    -562.254377601535
     316227.766016835	    -564.911158699809
     354813.389233572	    -567.849519859393
     398107.170553494	     -571.09691665525
     446683.592150959	    -574.678992396413
     501187.233627268	    -578.618719433932
     562341.325190344	    -582.935191227479
     630957.344480187	    -587.642093073942
     707945.784384131	    -592.746008889267
     794328.234724274	    -598.244696440552
     891250.938133737	    -604.125537752962
      999999.99999999	    -610.364432397433


