Ch 1 (s)	 Ch 1 (Volts)	 Ch 2 (s)	 Ch 2 (Volts)
    0.0000	      80.00E-3	     0.0000	     0.0000
     4.000E-6	     0.0000	      4.000E-6	     0.0000
     8.000E-6	     0.0000	      8.000E-6	     0.0000
     12.00E-6	     0.0000	      12.00E-6	      80.00E-3
     16.00E-6	     0.0000	      16.00E-6	     0.0000
     20.00E-6	     0.0000	      20.00E-6	     0.0000
     24.00E-6	     0.0000	      24.00E-6	     0.0000
     28.00E-6	      80.00E-3	      28.00E-6	     0.0000
     32.00E-6	     -80.00E-3	      32.00E-6	     0.0000
     36.00E-6	     0.0000	      36.00E-6	     0.0000
     40.00E-6	     0.0000	      40.00E-6	      80.00E-3
     44.00E-6	      80.00E-3	      44.00E-6	     0.0000
     48.00E-6	     0.0000	      48.00E-6	     0.0000
     52.00E-6	     0.0000	      52.00E-6	     0.0000
     56.00E-6	     0.0000	      56.00E-6	     0.0000
     60.00E-6	      80.00E-3	      60.00E-6	      80.00E-3
     64.00E-6	     0.0000	      64.00E-6	     0.0000
     68.00E-6	     0.0000	      68.00E-6	     0.0000
     72.00E-6	     0.0000	      72.00E-6	     0.0000
     76.00E-6	     0.0000	      76.00E-6	     0.0000
     80.00E-6	      80.00E-3	      80.00E-6	      80.00E-3
     84.00E-6	      80.00E-3	      84.00E-6	      80.00E-3
     88.00E-6	      80.00E-3	      88.00E-6	     0.0000
     92.00E-6	     0.0000	      92.00E-6	     0.0000
     96.00E-6	     0.0000	      96.00E-6	      80.00E-3
     100.0E-6	      80.00E-3	      100.0E-6	     0.0000
     104.0E-6	      80.00E-3	      104.0E-6	     -80.00E-3
     108.0E-6	     0.0000	      108.0E-6	     0.0000
     112.0E-6	     0.0000	      112.0E-6	      80.00E-3
     116.0E-6	     0.0000	      116.0E-6	     0.0000
     120.0E-6	     -80.00E-3	      120.0E-6	     0.0000
     124.0E-6	      80.00E-3	      124.0E-6	     0.0000
     128.0E-6	      80.00E-3	      128.0E-6	     0.0000
     132.0E-6	     0.0000	      132.0E-6	     0.0000
     136.0E-6	     0.0000	      136.0E-6	     0.0000
     140.0E-6	      80.00E-3	      140.0E-6	     0.0000
     144.0E-6	      80.00E-3	      144.0E-6	     0.0000
     148.0E-6	      4.240	      148.0E-6	     -1.520
     152.0E-6	      4.560	      152.0E-6	     -320.0E-3
     156.0E-6	      4.560	      156.0E-6	     -80.00E-3
     160.0E-6	      4.560	      160.0E-6	     0.0000
     164.0E-6	      4.560	      164.0E-6	     0.0000
     168.0E-6	      4.560	      168.0E-6	     0.0000
     172.0E-6	      4.480	      172.0E-6	      80.00E-3
     176.0E-6	      4.560	      176.0E-6	     0.0000
     180.0E-6	      4.560	      180.0E-6	     0.0000
     184.0E-6	      4.560	      184.0E-6	     0.0000
     188.0E-6	      4.560	      188.0E-6	     0.0000
     192.0E-6	      4.560	      192.0E-6	      80.00E-3
     196.0E-6	      4.560	      196.0E-6	     0.0000
     200.0E-6	      4.560	      200.0E-6	      80.00E-3
     204.0E-6	      4.560	      204.0E-6	     0.0000
     208.0E-6	      4.560	      208.0E-6	     0.0000
     212.0E-6	      4.560	      212.0E-6	     0.0000
     216.0E-6	      4.560	      216.0E-6	     0.0000
     220.0E-6	      4.560	      220.0E-6	     0.0000
     224.0E-6	      4.480	      224.0E-6	     0.0000
     228.0E-6	      4.560	      228.0E-6	     0.0000
     232.0E-6	      4.560	      232.0E-6	     0.0000
     236.0E-6	      4.560	      236.0E-6	      80.00E-3
     240.0E-6	      4.560	      240.0E-6	     0.0000
     244.0E-6	      4.560	      244.0E-6	     0.0000
     248.0E-6	      4.560	      248.0E-6	     0.0000
     252.0E-6	      4.640	      252.0E-6	     0.0000
     256.0E-6	      4.560	      256.0E-6	      80.00E-3
     260.0E-6	      4.560	      260.0E-6	      80.00E-3
     264.0E-6	      4.560	      264.0E-6	     0.0000
