                 VCC1	     1/Period(V(OUT))
                    5	     1000.53228317465
                  5.5	     1152.77628877507
                    6	     1288.56946110994
                  6.5	     1411.24138437135
                    7	     1522.17659075065
                  7.5	     1623.39322626189
                    8	     1716.27237311212
                  8.5	     1801.80602224834
                    9	     1880.82456101085
                  9.5	     1954.03332017618
                   10	     2022.03574109935
                 10.5	     2085.35308468556
                   11	     2144.38854261779
                 11.5	     2199.53765718446
                   12	     2251.21942928436
                 12.5	     2299.73980743819
                   13	     2345.36482032512
                 13.5	     2388.33746157464
                   14	     2429.26113051011
                 14.5	     2467.15233382742
                   15	     2503.35888177963
                 15.5	     2537.64211430251
                   16	     2570.14305930297
                 16.5	     2600.98655420001
                   17	      2630.2866460084
                 17.5	     2658.15066078967
                   18	     2683.25778621036
                 18.5	     2708.44167100017
                   19	     2734.02651841681
                 19.5	     2757.00831513708
                   20	     2778.95729076119


